,Id,Ticker1,Ticker2,std
0,1,AAPL,HPQ,3.290016098598491
1,2,ABX,GG,0.2072175203450198
2,3,ABX,IAU,1.072428016689739
3,4,ABX,NEM,0.17028047107655667
4,5,APC,CHK,3.401504689454732
5,6,APC,DVN,0.32330090822591323
6,7,AXP,COF,0.12686755184477438
7,8,BAC,JPM,0.17450087617887336
8,9,BHP,FCX,0.5361755057786464
9,10,CAT,DE,0.12352684159117897
10,11,CENX,FCX,0.39485739661366154
11,12,CENX,NUE,0.29274811526319716
12,13,CHK,DVN,0.10751350817271974
13,14,COP,CVX,0.08262498416720028
14,15,CS,DB,0.13610409425516193
15,16,CSX,NSC,0.03776627870612643
16,17,CVX,XOM,0.13861264923871122
17,18,DAL,UAL,0.2255088360777729
18,19,DSX,GNK,0.8959720924491158
19,20,EGLE,GNK,25.12863819565245
20,21,GG,ABX,0.29510351375952076
21,22,GG,GLD,0.08633499097102995
22,23,GG,KGC,1.7683104411856045
23,24,GG,NEM,0.1829187170226848
24,25,HD,LOW,0.28377661420320743
25,26,IEF,TLT,0.07703804814044603
26,27,INTC,SMH,0.08819002872148596
27,28,KGC,NEM,0.1373478091595276
28,29,T,VZ,0.08853200911915438
29,30,UGA,USO,0.6731442156965946
